"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 05 19:29:03 BRT 2022","Tue Jul 05 19:29:17 BRT 2022","14282","","Financeiro.PlanosDePagamento.PlanosDePagamento","","Financeiro.PlanosDePagamento.PlanosDePagamento","NovoPlanosDePagamento","NovoPlanosDePagamento",""
"passed","Tue Jul 05 19:28:00 BRT 2022","Tue Jul 05 19:28:30 BRT 2022","30491","","Financeiro.RenegociacaoSimplificada.RenegociacaoSimplificada","","Financeiro.RenegociacaoSimplificada.RenegociacaoSimplificada","NovoRenegociacaoSimplificada","NovoRenegociacaoSimplificada",""
"passed","Tue Jul 05 19:09:47 BRT 2022","Tue Jul 05 19:10:03 BRT 2022","16115","","Financeiro.ContasAReceber.ContasReceber","","Financeiro.ContasAReceber.ContasReceber","LancamentosContabeis","LancamentosContabeis",""
"passed","Tue Jul 05 19:27:43 BRT 2022","Tue Jul 05 19:28:00 BRT 2022","16301","","Financeiro.EstruturaFinanceira.EstruturaFinanceira","","Financeiro.EstruturaFinanceira.EstruturaFinanceira","NovoPlanoCentroResultado","NovoPlanoCentroResultado",""
"passed","Tue Jul 05 19:26:53 BRT 2022","Tue Jul 05 19:27:09 BRT 2022","16221","","Financeiro.EstruturaFinanceira.EstruturaFinanceira","","Financeiro.EstruturaFinanceira.EstruturaFinanceira","NovoPlanoContabil","NovoPlanoContabil",""
"passed","Tue Jul 05 19:24:04 BRT 2022","Tue Jul 05 19:24:20 BRT 2022","15885","","Financeiro.CondicaoDeRecebimento.CondicaoDeRecebimento","","Financeiro.CondicaoDeRecebimento.CondicaoDeRecebimento","ConsultaCondicaoDeRecebimento","ConsultaCondicaoDeRecebimento",""
"passed","Tue Jul 05 19:32:35 BRT 2022","Tue Jul 05 19:32:54 BRT 2022","19162","","Financeiro.Relatorios.Relatorios","","Financeiro.Relatorios.Relatorios","ConsultaRelatorios","ConsultaRelatorios",""
"passed","Tue Jul 05 19:14:39 BRT 2022","Tue Jul 05 19:14:57 BRT 2022","18331","","Financeiro.IntegracaoBancaria.IntegracaoBancaria","","Financeiro.IntegracaoBancaria.IntegracaoBancaria","ConsultaRegistroRetorno","ConsultaRegistroRetorno",""
"passed","Tue Jul 05 19:26:00 BRT 2022","Tue Jul 05 19:26:18 BRT 2022","17590","","Financeiro.TiposDeLancamento.TiposDeLancamento","","Financeiro.TiposDeLancamento.TiposDeLancamento","ConsultaTiposDeLacamento","ConsultaTiposDeLacamento",""
"passed","Tue Jul 05 19:17:47 BRT 2022","Tue Jul 05 19:18:01 BRT 2022","14508","","Financeiro.Cedentes.Cedentes","","Financeiro.Cedentes.Cedentes","Documentos","Documentos",""
